TF,#TFMS,len-of-TFMS,#p<0.1,#p<0.05,#p<0.01,cutoff of OR>2,true median,random median,log10-dis T-test-s,log10-dis T-test-p,log10-dis Wilcoxon-rank-sum-s,log10-dis Wilcoxon-rank-sum-p,log10-dis ks_2samp-s,log10-dis ks_2samp-p,log10-dis ks_2samp-s less,log10-dis ks_2samp-p less,log10-dis ks_2samp-s greater,log10-dis ks_2samp-p greater
ZNF263_MA0528.1,590142.0,21.0,418034.0,412137.0,397255.0,2200.0,4.0,3335.0,838.86019900184,0.0,525.0345960790837,0.0,0.6684289543872491,0.0,0.6684289543872491,0.0,0.064455673380305,0.0
EWSR1-FLI1_MA0149.1,525629.0,18.0,364702.0,360243.0,349956.0,2400.0,3.0,3743.0,771.5253477059166,0.0,473.81884770517235,0.0,0.6585348220893444,0.0,0.6585348220893444,0.0,0.06640995835465702,0.0
RREB1_MA0073.1,902093.0,20.0,517784.0,504320.0,482124.0,1000.0,7.0,2183.0,784.2844562807301,0.0,458.0100354125873,0.0,0.5259646178387373,0.0,0.5259646178387373,0.0,0.06720038843001785,0.0
ZSCAN4_MA1155.1,890242.0,15.0,495351.0,481827.0,450381.0,1000.0,27.0,2212.0,747.5316799021128,0.0,429.7833827330296,0.0,0.5038832137778266,0.0,0.5038832137778266,0.0,0.06263577768741535,0.0
SP2_MA0516.1,678520.0,15.0,220145.0,173817.0,106967.0,1000.0,1500.0,2903.0,322.651620098359,0.0,226.02097566948996,0.0,0.2280831810410894,0.0,0.2280831810410894,0.0,0.03796056122148206,0.0
KLF16_MA0741.1,720795.0,11.0,232115.0,182564.0,108707.0,800.0,1423.0,2731.0,330.41641967118863,0.0,223.80171516771577,0.0,0.22579790370354957,0.0,0.22579790370354957,0.0,0.03954522437031327,0.0
ZNF24_MA1124.1,679256.0,13.0,251853.0,233183.0,210891.0,1000.0,1761.0,2900.0,415.5646419692927,0.0,207.33463536546503,0.0,0.3027591953549177,0.0,0.3027591953549177,0.0,0.038132898347603916,0.0
EGR3_MA0732.1,528006.0,15.0,180136.0,143122.0,83450.0,1200.0,1862.0,3726.0,297.2239813662712,0.0,206.71499634721516,0.0,0.24262981860054622,0.0,0.24262981860054622,0.0,0.04049953977795706,0.0
ZNF740_MA0753.1,637202.0,10.0,227183.0,199280.0,156275.0,1000.0,1692.0,3087.0,368.00039988727156,0.0,198.9321997297088,0.0,0.26284600487757415,0.0,0.26284600487757415,0.0,0.05725656856067629,0.0
CTCFL_MA1102.1,477282.0,14.0,140659.0,93412.0,30322.0,1400.0,1984.0,4119.0,223.19386441268347,0.0,194.58423097024092,0.0,0.22285776543008115,0.0,0.22285776543008115,0.0,0.03802154700994387,2.139330140876472e-300
FOXC1_MA0032.2,887356.0,11.0,264633.0,229591.0,188635.0,600.0,1545.0,2219.0,366.14324746197997,0.0,193.96730958153486,0.0,0.2112106076929665,0.0,0.2112106076929665,0.0,0.027128908803231155,2.2997855542885408e-284
NRF1_MA0506.1,284055.0,11.0,116397.0,98632.0,58973.0,3000.0,2388.0,6919.0,263.15382182533654,0.0,190.51119708119666,0.0,0.3099540581929556,0.0,0.3099540581929556,0.0,0.05032828149478097,3.20814720646e-313
E2F6_MA0471.1,642252.0,11.0,192790.0,157062.0,108524.0,800.0,1863.0,3063.0,299.3494680754704,0.0,186.93447894219565,0.0,0.2005941593019563,0.0,0.2005941593019563,0.0,0.03379670285184011,2.45867e-319
Arid5a_MA0602.1,871757.0,14.0,235571.0,195770.0,156880.0,400.0,1602.0,2258.0,334.5365514329198,0.0,184.06553508932316,0.0,0.1748503309982025,0.0,0.1748503309982025,0.0,0.022395002277010634,1.2854941700009648e-190
Zfx_MA0146.2,802518.0,14.0,171487.0,111090.0,37487.0,400.0,1545.0,2452.0,210.6860374842122,0.0,181.19989860016423,0.0,0.1487879399589791,0.0,0.1487879399589791,0.0,0.03148091382373985,0.0
E2F4_MA0470.1,287591.0,11.0,101927.0,80299.0,34010.0,2600.0,3015.0,6836.0,216.80357818009455,0.0,171.68330000057801,0.0,0.25720902253547573,0.0,0.25720902253547573,0.0,0.04020988139406312,1.0995603987819647e-202
SP1_MA0079.3,530385.0,11.0,158426.0,120701.0,70703.0,1000.0,2189.0,3709.0,250.104509126466,0.0,170.87879900033818,0.0,0.2017609849448985,0.0,0.2017609849448985,0.0,0.034637103236328404,4.3198043052686777e-277
ZIC4_MA0751.1,564735.0,15.0,142750.0,91240.0,26570.0,800.0,2008.0,3484.0,196.59615602771294,0.0,169.63626671410717,0.0,0.18079807343267199,0.0,0.18079807343267199,0.0,0.034465722861164894,4.3909765965091725e-292
KLF5_MA0599.1,489061.0,10.0,145203.0,109998.0,65404.0,1200.0,2282.0,4022.0,244.32171192082973,0.0,168.84382289459083,0.0,0.20528114079838714,0.0,0.20528114079838714,0.0,0.03586873621082032,5.275514097989678e-274
JUNv2_MA0489.1,693895.0,14.0,221522.0,199837.0,180938.0,800.0,2046.0,2838.0,357.1506950963801,0.0,166.27331161293026,0.0,0.25091404319097266,0.0,0.25091404319097266,0.0,0.03305111003826222,0.0
EGR4_MA0733.1,676449.0,16.0,177930.0,132188.0,71703.0,600.0,1946.0,2911.0,247.25522590694274,0.0,164.66491312973295,0.0,0.1661233884594404,0.0,0.1661233884594404,0.0,0.030974988506154877,1.3219224338244328e-282
SP4_MA0685.1,866543.0,17.0,191750.0,128562.0,41696.0,400.0,1543.0,2271.0,205.66808843742987,0.0,164.0717560162902,0.0,0.13936296294586653,0.0,0.13936296294586653,0.0,0.02831711755792854,1.6602203428087247e-302
SP3_MA0746.1,721732.0,11.0,172700.0,124906.0,63749.0,600.0,1818.0,2728.0,233.29027278929118,0.0,163.46657576799763,0.0,0.1505572705658056,0.0,0.1505572705658056,0.0,0.0286020295622198,3.6842634102981644e-257
Lhx3_MA0135.1,633078.0,13.0,186644.0,161107.0,137268.0,800.0,2172.0,3107.0,323.2163666814864,0.0,162.43666266226057,0.0,0.20773901478174886,0.0,0.20773901478174886,0.0,0.02759691538799325,3.933634744132587e-210
Nr2f6v2_MA0728.1,704229.0,15.0,146319.0,104921.0,91103.0,400.0,1837.0,2796.0,235.63225210920936,0.0,160.0171278257995,0.0,0.1377634263854513,0.0,0.1377634263854513,0.0,0.029457747408868418,3.885326385615257e-266
SP8_MA0747.1,715412.0,12.0,170465.0,126635.0,69747.0,600.0,1889.0,2752.0,238.66148965838224,0.0,154.97001050829556,0.0,0.14526035347464122,0.0,0.14526035347464122,0.0,0.028766640760848228,7.54375820446765e-258
FOXC2_MA0846.1,522078.0,12.0,166245.0,147703.0,133301.0,1000.0,2595.0,3769.0,319.78179766286524,0.0,154.65885018299036,0.0,0.2455954857320171,0.0,0.2455954857320171,0.0,0.029328950846425283,8.957166297464252e-196
ZIC1_MA0696.1,586833.0,14.0,138982.0,88022.0,26388.0,800.0,2087.0,3354.0,183.5134305821378,0.0,153.4061937952268,0.0,0.16189273609357344,0.0,0.16189273609357344,0.0,0.03097474068431738,2.9285623117381758e-245
Foxd3_MA0041.1,605082.0,12.0,184727.0,165357.0,150369.0,800.0,2374.0,3252.0,329.80623839162206,0.0,152.53556188877332,0.0,0.23934772477118804,0.0,0.23934772477118804,0.0,0.027584691000558603,1.0761140144221099e-200
JUNB_MA0490.1,626454.0,11.0,191396.0,170915.0,152848.0,800.0,2328.0,3141.0,348.7598858539399,0.0,148.91921473198943,0.0,0.23411455589716085,0.0,0.23411455589716085,0.0,0.031346276023459074,4.547767138472567e-268
CTCF_MA0139.1,853626.0,19.0,170410.0,106492.0,37496.0,200.0,1617.0,2306.0,187.5773322575268,0.0,148.42598504594676,0.0,0.12529608985668195,0.0,0.12529608985668195,0.0,0.025868471672606086,8.086760428133513e-249
TFDP1_MA1122.1,282252.0,11.0,89613.0,66649.0,24494.0,2400.0,3513.0,6964.0,184.67020749179085,0.0,148.36730660611244,0.0,0.2240232132987543,0.0,0.2240232132987543,0.0,0.0379377294049289,3.6053442644693433e-177
KLF14_MA0740.1,677448.0,14.0,151404.0,102082.0,32009.0,400.0,1997.0,2907.0,184.19839426314368,0.0,144.81647181726692,0.0,0.13897450431619843,0.0,0.13897450431619843,0.0,0.027445648964939062,2.338462800411544e-222
GLIS2_MA0736.1,527684.0,14.0,126867.0,83008.0,30556.0,800.0,2370.0,3728.5,180.3994549755965,0.0,141.9248006089803,0.0,0.1609239620682075,0.0,0.1609239620682075,0.0,0.031892193054934403,7.840500299676456e-234
TFAP2Av2_MA0810.1,801887.0,12.0,197704.0,121904.0,28050.0,600.0,1556.0,2454.0,167.936162684778,0.0,141.00136759264615,0.0,0.1694802384874677,0.0,0.1694802384874677,0.0,0.07546823929057334,0.0
