,enrich-at-SE-fisher-exact-p,enrich-at-SE-fisher-exact-s,log10-dis ks_2samp-p,log10-dis ks_2samp-p greater,log10-dis ks_2samp-p less,log10-dis ks_2samp-p signed,log10-dis ks_2samp-s,log10-dis ks_2samp-s greater,log10-dis ks_2samp-s less,log10-dis ks_2samp-s signed,log10-dis ks_2samp-s signed std,motif SE overlapped,motif total,random SE overlapped,random total
ALX3_MA0634.1,0.0,0.69,1.1875540918706816e-223,6.478746449085859e-224,1.3670415213595832e-07,6.478746449085859e-224,0.029186584630072898,0.029186584630072898,0.005117618198333191,-0.029186584630072898,0.00023665366463457182,73586.0,603308.0,100551.0,603308.0
ARNT::HIF1A_MA0259.1,0.0,1.67,0.0,1.832044891797477e-168,1.1e-322,1.1e-322,0.059152117582090824,0.04269383439767027,0.059152117582090824,0.059152117582090824,0.0008379412386362671,53055.0,211869.0,35324.0,211869.0
ASCL1_MA1100.1,0.0,1.77,0.0,0.0,0.0,0.0,0.11501475722237058,0.04619409067967106,0.11501475722237058,0.11501475722237058,0.0003971821915363935,187012.0,715243.0,119236.5,715243.0
ATF4_MA0833.1,8.435000000000001e-27,0.94,5.626663272421122e-40,0.39487631819122104,2.8115341065687e-40,2.8115341065687e-40,0.014636074088362178,0.0014772508080185265,0.014636074088362178,0.014636074088362178,0.0005048320802263072,67215.0,425114.0,70861.5,425114.0
ATF7_MA0834.1,3.6399999999999997e-51,1.13,0.0,0.0,0.0008076000829057598,0.0,0.14021104116661381,0.14021104116661381,0.005676826230696073,-0.14021104116661381,0.0006136897555708349,40576.0,220810.0,36775.0,220810.0
Alx1_MA0854.1,0.0,0.71,0.0,0.0,0.0,0.0,0.059835724052005206,0.059835724052005206,0.04807326683009312,-0.059835724052005206,0.0002977080808068889,61714.0,494412.0,82463.0,494412.0
Alx4_MA0853.1,0.0,0.77,0.0,0.0,1.26635658587e-313,0.0,0.07616721337745869,0.07616721337745869,0.041823982595901005,-0.07616721337745869,0.00035054468785107845,54771.0,411857.0,68684.0,411857.0
Ar_MA0007.3,0.0,1.27,0.0,0.0,0.7656684439604805,0.0,0.1439709900766339,0.1439709900766339,0.0007795789132464502,-0.1439709900766339,0.0003797807700551086,88897.0,438057.0,73058.5,438057.0
Arid3b_MA0601.1,0.0,0.63,0.0,3.6026968098318803e-94,0.0,0.0,0.11229553489519906,0.019614522811930546,0.11229553489519906,0.11229553489519906,0.0003572843041460643,62669.0,559203.0,93241.5,559203.0
Arid5a_MA0602.1,0.0,0.62,0.0,5.720643851204173e-192,0.0,0.0,0.17505910477346326,0.022474726328552574,0.17505910477346326,0.17505910477346326,0.00021158277151749684,96714.0,871757.0,145337.5,871757.0
