,#TFBS_nonBlackList,#TFMS,TFBS_nonBlackList dis-to-neighbor median,TFMS dis-to-neighbor median,TFMS percentile-1,TFMS percentile-5,log10-dis T-test-s,log10-dis T-test-p,log10-dis Wilcoxon-rank-sum-s,log10-dis Wilcoxon-rank-sum-p,log10-dis ks_2samp-s,log10-dis ks_2samp-p,log10-dis ks_2samp-s less,log10-dis ks_2samp-p less,log10-dis ks_2samp-s greater,log10-dis ks_2samp-p greater,TFBS_nonBlackList overlap SE,TFMS overlap SE,fisher_exact_s,fisher_exact_p,log10-dis ks_2samp-s signed,log10-dis ks_2samp-p signed,log10-dis ks_2samp-s signed std,PeaksFCAbove10,log10-dis T-test-p Fisher-TF-Celltype-combined,log10-dis Wilcoxon-rank-sum-p Fisher-TF-Celltype-combined,fisher_exact_p Fisher-TF-Celltype-combined,log10-dis ks_2samp-p signed Fisher-TF-Celltype-combined
H128_ASCL1,6777.0,6777.0,127778.0,242510.5,2093.42,13585.5,21.303441910220915,4.4107167598872036e-99,20.64172585575947,1.1637180928018378e-94,0.17950420540061973,9.198921829697396e-96,0.17950420540061973,4.599460914848676e-96,0.01822340268555408,0.10535500835998898,0.0,0.0,0.0,0.0,0.17950420540061973,4.599460914848676e-96,0.004678847756766804,2755.0,1.926429267017297e-43,1.6029354415247852e-41,0.0,3.940394473302888e-42
NCI-H128_ASCL1,6559.0,6559.0,136483.0,250667.5,2094.23,14168.9,19.622033016298033,1.6392984940515586e-84,19.496021804442773,1.1866625911463868e-84,0.1718249733191035,6.152257363931543e-85,0.1718249733191035,3.076128681965782e-85,0.018905320933069063,0.09592192196160397,0.0,0.0,0.0,0.0,0.1718249733191035,3.076128681965782e-85,0.004894119563955327,2592.0,4.0972109277103665e-37,3.5607660079038933e-37,0.0,1.9811013746628184e-37
None_ASCL1,70247.0,70247.0,24393.0,22284.0,79.72999999999999,892.5999999999999,-24.67272470816365,4.060385573526576e-134,-14.601892555742966,2.780015707531197e-48,0.07691431662562104,3.807911083012246e-181,0.020100502512562846,4.625554051327852e-13,0.07691431662562104,3.2203323084207316e-181,0.0,0.0,0.0,0.0,-0.07691431662562104,3.2203323084207316e-181,0.0014928137575470953,2292.0,1.1717550524795447e-58,2.221836714365066e-21,0.0,4.104660500964275e-79
HCC4018_ASCL1,4079.0,4079.0,275359.0,406628.0,3996.58,23510.65,11.621257591825488,5.7491369626790995e-31,11.243161274954726,2.5204089447160943e-29,0.1295660701152243,3.0618239023647986e-30,0.1295660701152243,1.5309119511823993e-30,0.02279970581024761,0.1199960536145427,0.0,0.0,0.0,0.0,0.1295660701152243,1.5309119511823993e-30,0.006151655858456932,890.0,7.358042678550489e-14,3.8002893977777206e-13,0.0,1.1258703965535174e-13
NCI-H1184_ASCL1,10085.0,10085.0,111045.0,161595.0,1240.62,8921.900000000001,15.525375864165621,4.8037211515914033e-54,15.407890049631161,1.4490071257178816e-53,0.1110064452156668,1.517240601754989e-54,0.1110064452156668,1.0112156004542376e-54,0.016460089241447706,0.06400238675174796,0.0,0.0,0.0,0.0,0.1110064452156668,1.0112156004542376e-54,0.004145418763320606,3686.0,6.983987447494506e-24,1.1280919436139423e-23,0.0,3.549781289128522e-24
NCI-H1755_ASCL1,4079.0,4079.0,213853.0,407248.5,3868.2,23542.6,16.042451223574787,4.847159703505374e-57,15.01307502917501,6.104771011807917e-51,0.18582986025986764,6.415153650316337e-62,0.18582986025986764,3.20757682515816e-62,0.02157391517528806,0.1498052619276663,0.0,0.0,0.0,0.0,0.18582986025986764,3.20757682515816e-62,0.0068098526320585,1535.0,3.4907431617678155e-25,1.5566583247964816e-22,0.0,1.9659480120560405e-27
NCI-H2107_ASCL1,16354.0,16354.0,52389.5,98854.0,651.295,5159.125,28.591585403779817,1.3183101406307125e-177,31.365746648611264,6.055337701939759e-216,0.17910979228486648,1.4120635575679626e-215,0.17910979228486648,1.861471824742849e-214,0.01893175074183973,0.004545755179088261,0.0,0.0,0.0,0.0,0.17910979228486648,1.861471824742849e-214,0.003701507766041237,4797.0,3.4384291841779124e-191,1.860085075334758e-221,0.0,9.953241146120236e-216
NCI-H889_ASCL1,27787.0,27787.0,34404.0,57433.0,305.36,2789.25,30.32263839713384,2.508552915982895e-200,34.0973013529576,8.090423437712583e-255,0.14083924137186454,6.624304311955979e-241,0.14083924137186454,3.7250889086978505e-240,0.014539172994565754,0.002771504230158382,0.0,0.0,0.0,0.0,0.14083924137186454,3.7250889086978505e-240,0.002438757197296263,10692.0,2.063340676791124e-87,4.458964546926938e-111,0.0,1.0407965298872762e-104
NCI-H82_ASCL1,18870.0,18870.0,64292.5,85301.5,538.105,4425.075,14.921886048635649,3.53361741047485e-50,16.403261447629426,1.8570157647819544e-60,0.08224695283518815,5.732381414691608e-56,0.08224695283518815,3.3711281623527087e-56,0.012427133015368297,0.053582887270956364,0.0,0.0,0.0,0.0,0.08224695283518815,3.3711281623527087e-56,0.0030441202105697877,4765.0,3.3370646455451012e-22,1.1457139828308488e-26,0.0,8.104363242329382e-25
HepG2_ATF4,14353.0,14353.0,72697.0,152601.0,1601.69,10558.9,34.623175248960095,4.555821030803828e-168,37.21368595355247,9.43872777820212e-191,0.22269787836120086,2.131987626760267e-197,0.22269787836120086,1.0659938133801406e-197,0.03200074675255145,4.156685888839101e-06,418.0,28.0,15.86,2.5199999999999997e-73,0.22269787836120086,1.0659938133801406e-197,0.003261075602101964,1254.5,0.0,0.0,2.331704078161634e-77,0.0
None_ATF4,2481.0,2481.0,543342.0,784765.5,10509.3,56740.0,4.658256498891342,3.208461338038063e-06,7.006764941232826,2.43896266355151e-12,0.04810382343798572,2.2346700931022141e-13,0.04810382343798572,1.1154251998455211e-13,0.011423686664594368,0.3505576371160648,0.0,0.0,0.0,0.0,0.04810382343798572,1.1154251998455211e-13,0.006680809253822096,714.0,3.1276816173923283e-09,6.049669482617328e-10,0.0,2.81122945684818e-12
HAP-1_ATF4,28320.0,28320.0,60250.0,68189.75,623.855,4540.9,5.6268016079304815,1.8444632463756858e-08,8.771071401922434,1.7702891647542877e-18,0.04293785310734466,2.5502968400361585e-23,0.04293785310734466,1.2916082086503749e-23,0.009607182940516323,0.10156297077086687,0.0,0.0,0.0,0.0,0.04293785310734466,1.2916082086503749e-23,0.002401144210423858,10667.0,8.253173762110604e-07,8.388427471899242e-20,0.0,3.5017468270654974e-27
None_BACH2,4399.0,4399.0,208891.0,436690.0,5650.889999999999,30624.75,20.448886076486524,7.870688189815781e-91,19.299924957481018,5.459858777179186e-83,0.21777676744714708,9.430166121666639e-92,0.21777676744714708,4.715083060833299e-92,0.035430463576158935,0.0033097105322962613,0.0,0.0,0.0,0.0,0.21777676744714708,4.715083060833299e-92,0.005742762148526706,988.0,0.0,0.0,0.0,0.0
