,#TFBS_nonBlackList,#TFMS,TFBS_nonBlackList dis-to-neighbor median,TFMS dis-to-neighbor median,TFMS percentile-1,TFMS percentile-5,log10-dis T-test-s,log10-dis T-test-p,log10-dis Wilcoxon-rank-sum-s,log10-dis Wilcoxon-rank-sum-p,log10-dis ks_2samp-s,log10-dis ks_2samp-p,log10-dis ks_2samp-s less,log10-dis ks_2samp-p less,log10-dis ks_2samp-s greater,log10-dis ks_2samp-p greater,TFBS_nonBlackList overlap SE,TFMS overlap SE,fisher_exact_s,fisher_exact_p,log10-dis ks_2samp-s signed,log10-dis ks_2samp-p signed,log10-dis ks_2samp-s signed std,PeaksFCAbove10
143B_FOSL1_81736,16844.0,16844.0,78553.0,115453.5,1351.0749999999998,8093.125,21.49767494879901,7.935463530526594e-102,22.343878987671825,1.3880703130043424e-110,0.12378294941819044,6.269709467358547e-113,0.12378294941819044,7.24914131094133e-113,0.020303965803847083,0.00094506176698319,0.0,0.0,0.0,0.0,0.12378294941819044,7.24914131094133e-113,0.0031908522994403905,953.0
22RV1_FOXA1_81170,91939.0,91939.0,17005.0,20055.5,208.0,1350.45,21.971051931145706,7.496759965586612e-107,24.388484532991157,2.285269140105014e-131,0.05573260531439325,1.4970061175068778e-124,0.05573260531439325,8.966849499316794e-125,0.012627938089385355,4.2446711898554614e-07,0.0,0.0,0.0,0.0,0.05573260531439325,8.966849499316794e-125,0.0013170891309615695,15487.0
22RV1_FOXA1_84210,4054.0,4054.0,349707.5,463065.0,6355.594999999999,33290.55,8.249091021517188,1.8474115188613626e-16,7.766827088588428,8.058831939067435e-15,0.0957079427725703,1.4155618400532568e-16,0.0957079427725703,7.07780920026627e-17,0.018253576714356196,0.2590658280618605,0.0,0.0,0.0,0.0,0.0957079427725703,7.07780920026627e-17,0.006290905070259951,976.0
22RV1_FOXA1_84613,32708.0,32708.0,44627.5,56836.25,677.5699999999999,3962.5249999999996,20.63563663324365,2.629465939234021e-94,20.90464227777961,4.858355561179157e-97,0.0830225021401492,1.6542472829178506e-98,0.0830225021401492,1.1344501551021485e-98,0.013054910113733664,0.0037443713921019688,0.0,0.0,0.0,0.0,0.0830225021401492,1.1344501551021485e-98,0.0022942304790222,8816.0
22RV1_FOXA1_87801,56657.0,56657.0,26259.0,32636.5,359.5,2234.3,22.215425893563882,4.1755753210357343e-109,23.965550568012606,6.3655610795874325e-127,0.07206523465767686,2.2267686884735592e-128,0.07206523465767686,1.516603903734899e-128,0.012002047408087302,0.0002820590011688378,0.0,0.0,0.0,0.0,0.07206523465767686,1.516603903734899e-128,0.001501452832230291,20253.0
22RV1_HNF4G_87802,22434.0,22434.0,55448.0,84078.25,962.3299999999999,5696.575,30.771789819964226,9.017957001705374e-206,27.975588825410796,3.295014869205276e-172,0.13845056610501916,5.841791843974336e-188,0.13845056610501916,1.7567521667466054e-187,0.02251047517161453,1.13046045059855e-05,0.0,0.0,0.0,0.0,0.13845056610501916,1.7567521667466054e-187,0.0023260264898538508,8915.0
22RV1_HNF4G_88463,21495.0,21495.0,60880.0,87468.0,1011.34,5937.299999999999,26.77403609880496,1.256782350479465e-156,24.594260275178947,1.459630554151836e-133,0.1212142358688067,4.503776171045732e-138,0.1212142358688067,6.166656176008397e-138,0.02030704815073281,0.0001385695004285047,0.0,0.0,0.0,0.0,0.1212142358688067,6.166656176008397e-138,0.0026313217105501615,7668.0
22RV1_HOXB13_84204,4461.0,4461.0,292710.0,421355.5,5725.200000000001,29421.5,12.417613329742855,4.0885635602632173e-35,10.923025873275751,8.961574621182941e-28,0.11903160726294552,6.15197341458541e-28,0.11903160726294552,3.0759867072927125e-28,0.02017484868863484,0.16273111549810598,0.0,0.0,0.0,0.0,0.11903160726294552,3.0759867072927125e-28,0.0060755983925448965,677.0
293FT_EMX1_44562,53531.0,53531.0,17884.0,35427.0,388.95000000000005,2435.25,79.37571081485729,0.0,72.33484353039461,0.0,0.20268629392314735,0.0,0.20268629392314735,0.0,0.021099923408865906,4.371869509422228e-11,0.0,0.0,0.0,0.0,0.20268629392314735,0.0,0.0015981631644784047,3829.0
293FT_EMX1_44563,13423.0,13423.0,73708.0,140519.0,1835.4699999999998,9974.8,38.1919892626651,0.0,33.553309761839,8.596275385506482e-247,0.1933621396111152,2.7270381714274137e-220,0.1933621396111152,9.206478935118777e-219,0.02816061983163232,2.3164840692688472e-05,0.0,0.0,0.0,0.0,0.1933621396111152,9.206478935118777e-219,0.00346157215338728,513.0
